summonerName,championId,role,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,totalMinionsKilled,win,dragons,barons,turretsKilled
I LOVE SHALLTEAR,233,JUNGLE,6,8,13,21252,36843,13090,23,True,3.0,1.0,8.0
Myrakear,101,MIDDLE,6,3,10,30675,13999,13017,217,True,3.0,1.0,8.0
Åzteca,145,BOTTOM,7,6,10,26799,20989,13151,209,True,3.0,1.0,8.0
NuteIIa,89,UTILITY,1,9,13,9352,29564,7884,21,True,3.0,1.0,8.0
Magikarpi,897,TOP,2,11,7,19670,44375,10840,217,False,2.0,0.0,3.0
Kozeako2,121,JUNGLE,4,11,6,21333,50914,13064,58,False,2.0,0.0,3.0
Gerap4,103,MIDDLE,6,7,14,41656,35843,14205,268,False,2.0,0.0,3.0
Tomara,236,BOTTOM,11,8,9,34701,39199,17801,294,False,2.0,0.0,3.0
Filip321PL,235,UTILITY,5,6,17,26329,32355,11605,35,False,2.0,0.0,3.0
Sett God,875,TOP,15,3,7,42505,45783,20480,274,True,3.0,2.0,10.0
I LOVE SHALLTEAR,233,JUNGLE,11,9,14,41011,53821,15552,27,True,3.0,2.0,10.0
Noxus Daddi,50,MIDDLE,6,4,17,31051,31525,13953,250,True,3.0,2.0,10.0
Nowaczius,202,BOTTOM,10,9,6,38090,32907,17000,275,True,3.0,2.0,10.0
RW PONOS,902,UTILITY,1,3,34,12598,19837,10913,28,True,3.0,2.0,10.0
DiamentWtydzień,114,TOP,0,2,1,3186,7376,4796,102,False,0.0,0.0,1.0
dxszekk,121,JUNGLE,1,3,1,4983,17539,5289,7,False,0.0,0.0,1.0
schabikowy,7,MIDDLE,3,3,1,10684,9844,6000,109,False,0.0,0.0,1.0
EAT RAW MEAT XD,202,BOTTOM,2,4,0,5334,7783,5728,122,False,0.0,0.0,1.0
Belle Delphine,235,UTILITY,0,6,3,3816,10380,4013,28,False,0.0,0.0,1.0
SpiritKillerBro,122,TOP,1,1,0,4769,6924,7916,160,True,2.0,0.0,4.0
Dodge Zalech23,79,MIDDLE,2,3,5,7398,11889,5929,99,True,2.0,0.0,4.0
I LOVE SHALLTEAR,233,JUNGLE,4,0,6,8017,16817,6860,3,True,2.0,0.0,4.0
Revresuar,145,BOTTOM,10,0,3,14125,6180,8848,121,True,2.0,0.0,4.0
Kudłaty926,412,UTILITY,1,2,9,3429,6067,4863,15,True,2.0,0.0,4.0
delıght,77,TOP,4,10,9,21087,25378,10007,146,True,2.0,1.0,10.0
SAMICELASICE,11,JUNGLE,10,6,9,18234,29622,12248,20,True,2.0,1.0,10.0
Unlucky Revo,202,BOTTOM,9,2,11,21820,13110,12367,162,True,2.0,1.0,10.0
BARBlE GlRL,42,MIDDLE,11,6,7,30593,20775,14506,235,True,2.0,1.0,10.0
ashamed,43,UTILITY,7,7,22,19897,15190,10760,38,True,2.0,1.0,10.0
Triple H,75,TOP,7,6,7,15681,42997,12342,156,False,1.0,0.0,3.0
I LOVE SHALLTEAR,233,JUNGLE,8,8,9,18582,33866,12112,43,False,1.0,0.0,3.0
GabrychaBąk123,134,MIDDLE,4,5,6,15128,14123,11121,216,False,1.0,0.0,3.0
BestVáynéEunee,360,BOTTOM,5,15,1,12469,26507,8151,125,False,1.0,0.0,3.0
LATEROVIANNNNNN,555,UTILITY,6,7,8,6542,19238,9739,40,False,1.0,0.0,3.0
